자치구명,법정동명,전세 보증금(평균),월세 보증금(평균),월세 임대료(평균)
성북구,상월곡동,25506,4644,53
성북구,석관동,27290,6482,52
성북구,성북동,24195,6704,74
성북구,성북동1가,27237,5434,52
성북구,안암동1가,27512,3394,60
성북구,안암동2가,10572,2963,49
성북구,안암동3가,16222,2513,56
성북구,안암동4가,13636,3489,44
성북구,안암동5가,11649,1643,57
성북구,장위동,29389,8087,55
성북구,정릉동,25951,4897,57
성북구,종암동,31964,7134,69
성북구,하월곡동,34118,6954,65
송파구,가락동,57712,18953,80
송파구,거여동,38729,9810,52
송파구,마천동,20949,5487,39
송파구,문정동,36191,8491,77
송파구,방이동,38429,9926,77
송파구,삼전동,23878,8535,50
송파구,석촌동,26146,8108,53
송파구,송파동,34430,10162,57
송파구,신천동,78846,36862,157
송파구,오금동,40509,12967,64
송파구,잠실동,66254,23522,118
송파구,장지동,50659,16106,70
송파구,풍납동,39122,10867,57
양천구,목동,44364,17888,79
양천구,신월동,24092,5118,55
양천구,신정동,38611,10593,55
영등포구,당산동,30253,9001,52
영등포구,당산동1가,27848,10146,52
영등포구,당산동2가,36377,10858,54
영등포구,당산동3가,36447,10781,68
영등포구,당산동4가,52172,15340,88
영등포구,당산동5가,56405,15464,89
영등포구,당산동6가,23884,5727,55
영등포구,대림동,25114,3613,50
영등포구,도림동,27558,4970,59
영등포구,문래동1가,29531,26364,22
영등포구,문래동2가,19280,5933,65
영등포구,문래동3가,55088,19695,112
영등포구,문래동4가,41908,16333,62
영등포구,문래동5가,37456,12026,67
영등포구,문래동6가,36496,18085,72
영등포구,신길동,32499,6918,55
영등포구,양평동1가,34581,10247,65
영등포구,양평동2가,28472,7982,55
영등포구,양평동3가,38551,12183,65
영등포구,양평동4가,27249,7684,60
영등포구,양평동5가,31893,12481,69
영등포구,양평동6가,26825,6426,66
영등포구,여의도동,51686,16594,138
영등포구,영등포동,38749,8636,67
영등포구,영등포동1가,19990,6493,52
영등포구,영등포동2가,22113,7088,62
영등포구,영등포동3가,19244,5832,46
영등포구,영등포동4가,23182,6280,55
영등포구,영등포동5가,24636,6559,63
영등포구,영등포동6가,23264,7851,53
영등포구,영등포동7가,39569,8798,68
영등포구,영등포동8가,38954,10623,69
용산구,갈월동,20986,4444,63
용산구,남영동,19475,2700,52
용산구,도원동,49605,18646,80
용산구,동빙고동,27405,5821,148
용산구,동자동,43252,10645,151
용산구,문배동,45804,13504,121
용산구,보광동,25187,2806,62
용산구,산천동,45320,16485,89
용산구,서계동,15608,4440,51
용산구,서빙고동,62159,22226,147
용산구,신계동,56992,22383,125
용산구,신창동,23676,5936,69
용산구,용문동,26070,5733,61
용산구,용산동2가,19043,3792,66
용산구,용산동3가,12844,900,55
용산구,용산동5가,138900,33295,498
용산구,원효로1가,35117,10147,101
용산구,원효로2가,23616,6251,75
용산구,원효로3가,20577,4748,67
용산구,원효로4가,27695,11670,77
용산구,이촌동,63540,25192,189
용산구,이태원동,34077,4904,106
용산구,주성동,17511,7669,63
용산구,청암동,103889,12833,308
용산구,청파동1가,20349,4263,46
용산구,청파동2가,23689,2103,55
용산구,청파동3가,21077,3045,54
용산구,한강로1가,30413,15276,142
용산구,한강로2가,51546,14400,78
용산구,한강로3가,92653,22199,282
용산구,한남동,78827,20938,281
용산구,효창동,39091,12991,83
용산구,후암동,23619,5740,59
은평구,갈현동,18623,4503,50
은평구,구산동,21479,4647,48
은평구,녹번동,30637,7418,54
은평구,대조동,18757,4669,46
은평구,불광동,22726,5127,52
은평구,수색동,44097,11097,69
은평구,신사동,22813,5463,51
은평구,역촌동,19021,4354,49
은평구,응암동,33348,7160,58
은평구,증산동,30107,6611,65
은평구,진관동,35913,6393,55
종로구,가회동,22714,8316,104
종로구,견지동,76333,0,550
종로구,경운동,23000,1594,66
종로구,계동,23806,7033,69
종로구,관수동,20264,2638,81
종로구,관훈동,15750,0,0
종로구,교남동,0,300,55
종로구,교북동,46013,12761,105
종로구,구기동,43906,9638,97
종로구,궁정동,0,1500,47
종로구,낙원동,28111,2188,82
종로구,내수동,42944,10699,150
종로구,누상동,24712,10376,45
종로구,누하동,20443,5143,62
종로구,당주동,46438,21000,123
종로구,돈의동,0,875,75
종로구,동숭동,16694,4607,57
종로구,명륜1가,26026,4174,61
종로구,명륜2가,52559,6213,82
종로구,명륜3가,13233,1439,53
종로구,명륜4가,21242,3733,53
종로구,무악동,64802,24574,123
종로구,부암동,29792,12671,72
종로구,사간동,0,2000,50
종로구,사직동,68774,24801,153
종로구,삼청동,16586,9184,95
종로구,수송동,35000,7500,97
종로구,숭인동,24341,4643,58
종로구,신교동,28614,6807,60
종로구,신문로1가,44000,4000,190
종로구,신문로2가,53130,9240,152
종로구,신영동,33442,6062,66
종로구,안국동,43000,12000,87
종로구,연건동,16281,3172,56
종로구,연지동,21594,5311,48
종로구,옥인동,25666,11938,55
종로구,운니동,10000,1000,68
종로구,원남동,20077,2937,78
종로구,원서동,19928,5288,59
종로구,이화동,15593,2550,53
종로구,익선동,30190,1973,81
종로구,인의동,36785,14157,115
종로구,재동,0,3000,100
종로구,종로1가,20000,1833,103
종로구,종로5가,21036,4559,78
종로구,종로6가,0,1750,54
종로구,창성동,18075,9533,62
종로구,창신동,26050,4829,55
종로구,청운동,45175,14706,148
종로구,체부동,24542,2888,89
종로구,충신동,38874,11497,119
종로구,통의동,23225,1000,50
종로구,통인동,27311,5773,58
종로구,팔판동,14500,1000,60
종로구,평동,94241,36068,212
종로구,평창동,41588,13302,100
종로구,필운동,26738,10218,67
종로구,행촌동,16103,8782,43
종로구,혜화동,27357,5545,61
종로구,홍지동,19236,6457,47
종로구,홍파동,95131,47735,189
종로구,화동,23000,2000,50
종로구,효자동,42136,4875,86
종로구,효제동,18859,4784,73
중구,광희동1가,17000,7122,53
중구,광희동2가,20500,2203,62
중구,남대문로5가,117812,25000,570
중구,남산동1가,14000,8140,61
중구,남산동2가,17750,2853,87
중구,남창동,22500,1673,39
중구,만리동1가,50977,17250,101
중구,만리동2가,67011,26972,113
중구,무학동,26800,1257,74
중구,묵정동,20814,2722,67
중구,북창동,6000,0,0
중구,산림동,29000,0,0
중구,순화동,58981,9375,245
중구,신당동,38417,8297,82
중구,쌍림동,18593,2430,60
중구,예장동,25603,2192,68
중구,오장동,22984,4088,71
중구,을지로4가,24486,1500,100
중구,을지로5가,30594,6132,95
중구,을지로6가,25608,18367,28
중구,을지로7가,0,1500,50
중구,의주로1가,36985,8600,149
중구,인현동2가,28807,6272,111
중구,입정동,50971,11635,177
중구,장충동1가,31112,4455,59
중구,장충동2가,13102,2146,52
중구,저동2가,19591,4313,70
중구,정동,29917,9709,111
중구,주교동,0,3000,40
중구,중림동,30116,7181,75
중구,충무로2가,21940,3291,73
중구,충무로3가,22050,3318,82
중구,충무로4가,60432,15941,174
중구,충무로5가,22354,2648,78
중구,필동1가,28667,6325,119
중구,필동2가,22577,3205,63
중구,필동3가,21755,2493,62
중구,황학동,34434,8686,86
중구,회현동1가,49070,7338,124
중구,회현동2가,76333,26384,168
중구,회현동3가,9500,1000,40
중구,흥인동,44986,4326,109
중랑구,망우동,26517,5433,44
중랑구,면목동,22773,5405,50
중랑구,묵동,26920,6191,49
중랑구,상봉동,24350,6592,53
중랑구,신내동,29092,7234,44
중랑구,중화동,20661,5029,48
