,행정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
282,당주동,4,282.0,0.014184397163120567,1.4184397163120568
283,구기동,4,5766.0,0.000693721817551162,0.0693721817551162
284,무학동,4,216.0,0.018518518518518517,1.8518518518518516
285,청파동1가,4,7184.0,0.0005567928730512249,0.05567928730512249
286,옥인동,4,1863.0,0.0021470746108427268,0.2147074610842727
287,소공동,4,1.0,4.0,400.0
288,만리동2가,4,4467.0,0.0008954555630176853,0.08954555630176853
289,사직동,2,3172.0,0.0006305170239596469,0.06305170239596469
290,안암동2가,2,2316.0,0.0008635578583765112,0.08635578583765112
291,남대문로4가,2,4.0,0.5,50.0
292,소격동,2,134.0,0.014925373134328358,1.4925373134328357
293,문래동2가,2,1097.0,0.0018231540565177757,0.18231540565177756
294,누하동,2,780.0,0.002564102564102564,0.2564102564102564
295,오장동,2,711.0,0.0028129395218002813,0.2812939521800281
296,충정로1가,2,,,
297,장충동1가,2,1704.0,0.0011737089201877935,0.11737089201877934
298,태평로1가,2,4.0,0.5,50.0
299,과해동,2,,,
300,광희동2가,2,838.0,0.002386634844868735,0.23866348448687352
301,항동,2,16335.0,0.0001224364860728497,0.012243648607284972
302,을지로3가,2,220.0,0.00909090909090909,0.9090909090909091
303,남산동1가,2,135.0,0.014814814814814815,1.4814814814814816
304,교북동,2,904.0,0.0022123893805309734,0.22123893805309736
305,구수동,2,757.0,0.002642007926023778,0.26420079260237783
306,남대문로2가,2,1.0,2.0,200.0
307,문래동4가,2,1932.0,0.0010351966873706005,0.10351966873706005
308,장교동,2,2.0,1.0,100.0
309,재동,2,85.0,0.023529411764705882,2.3529411764705883
310,창성동,2,404.0,0.0049504950495049506,0.49504950495049505
311,북창동,2,148.0,0.013513513513513514,1.3513513513513513
312,신원동,2,7940.0,0.00025188916876574307,0.025188916876574305
313,대치1동,2,,,
314,일원본동,2,,,
315,다동,2,64.0,0.03125,3.125
316,필동2가,2,849.0,0.002355712603062426,0.23557126030624262
317,문배동,2,5681.0,0.0003520506953001232,0.035205069530012324
318,연남동,2,14227.0,0.00014057777465382724,0.014057777465382724
319,삼선동5가,2,3715.0,0.0005383580080753701,0.053835800807537006
320,마포동,2,2662.0,0.0007513148009015778,0.07513148009015778
321,견지동,2,231.0,0.008658008658008658,0.8658008658008658
322,수표동,2,5.0,0.4,40.0
323,원효로4가,2,3699.0,0.0005406866720735334,0.054068667207353344
324,동소문동7가,2,2316.0,0.0008635578583765112,0.08635578583765112
325,계동,2,1031.0,0.0019398642095053346,0.19398642095053348
326,보문동4가,2,940.0,0.002127659574468085,0.2127659574468085
327,세종로,2,,,
328,통인동,2,718.0,0.002785515320334262,0.2785515320334262
329,광희동1가,2,345.0,0.005797101449275362,0.5797101449275363
330,교남동,2,560.0,0.0035714285714285713,0.35714285714285715
331,27호,2,,,
332,관훈동,2,111.0,0.018018018018018018,1.8018018018018018
333,한강로1가,2,3206.0,0.0006238303181534623,0.06238303181534623
334,용산동6가,2,,,
335,돈의동,2,788.0,0.0025380710659898475,0.25380710659898476
336,보문동2가,2,2014.0,0.0009930486593843098,0.09930486593843098
337,명륜3가,2,4609.0,0.00043393360815795185,0.04339336081579519
338,보문동7가,2,1019.0,0.001962708537782139,0.19627085377821393
339,동소문동5가,2,1124.0,0.0017793594306049821,0.1779359430604982
340,신영동,2,3439.0,0.0005815644082582146,0.05815644082582146
341,성북동1가,2,1832.0,0.001091703056768559,0.10917030567685589
342,쌍림동,2,582.0,0.003436426116838488,0.3436426116838488
343,인현동2가,2,1084.0,0.0018450184501845018,0.18450184501845018
344,묵정동,2,890.0,0.0022471910112359553,0.22471910112359553
345,필동3가,2,954.0,0.0020964360587002098,0.20964360587002098
346,미근동,2,435.0,0.004597701149425287,0.45977011494252873
347,신촌동,2,838.0,0.002386634844868735,0.23866348448687352
348,사근동,2,6694.0,0.00029877502240812666,0.029877502240812665
349,을지로1가,2,1.0,2.0,200.0
350,용문동,2,6101.0,0.00032781511227667593,0.03278151122766759
351,초동,2,76.0,0.02631578947368421,2.631578947368421
352,봉래동2가,2,,,
353,충무로5가,2,594.0,0.003367003367003367,0.33670033670033667
