,gu,dong,eduScore,envScore,safeScore,welScore,popScore,transScore,convScore
0,강남구,일원동,68.55362713244656,47.980941125501325,49.888452424286484,58.20424167973111,49.66140879761176,58.26174731400201,46.036324538145145
1,강남구,대치동,68.55362713244656,47.980941125501325,49.888452424286484,59.24077521754606,48.28852228229891,61.059245501369944,75.22833150266926
2,강남구,자곡동,68.53865528391253,47.980941125501325,49.888452424286484,56.93526278545687,50.824270495258396,54.33335376760151,46.036324538145145
3,강남구,역삼동,68.53865528391253,47.980941125501325,49.888452424286484,59.76433568694551,53.75322376387917,61.545587023542026,75.22833150266926
4,강남구,청담동,68.53865528391253,47.980941125501325,49.888452424286484,58.49059714958062,50.49934650147516,55.48999068973301,46.036324538145145
5,강남구,논현동,68.51214098111679,47.980941125501325,49.888452424286484,59.30025843632181,54.779404720419905,58.76261063126594,46.036324538145145
6,강남구,도곡동,68.51214098111679,47.980941125501325,49.888452424286484,58.10722981456725,48.469893311162124,58.39082780066832,46.036324538145145
7,강남구,삼성동,68.51214098111679,47.980941125501325,49.888452424286484,58.91620014249462,50.54454144682077,59.65782393211044,75.23040601289262
8,강남구,개포동,68.51214098111679,47.980941125501325,49.888452424286484,58.44989763592882,49.21496693595125,62.07171979975939,46.036324538145145
9,강남구,세곡동,57.416020826140894,47.980941125501325,49.888452424286484,46.63007297786504,48.91616329274272,57.71627692981447,46.036324538145145
10,강남구,수서동,57.416020826140894,47.980941125501325,49.888452424286484,57.1288318288225,47.56523700434764,56.26974439638296,75.22833150266926
11,강남구,신사동,57.416020826140894,47.980941125501325,49.888452424286484,59.56878850532868,51.91406703844238,55.27709489402691,46.036324538145145
12,강남구,압구정동,57.416020826140894,47.980941125501325,49.888452424286484,46.63007297786504,47.495528501883705,52.51039639558329,75.23040601289262
13,강남구,율현동,57.416020826140894,47.980941125501325,49.888452424286484,45.42416158269311,49.202182205982986,51.72587288894799,46.036324538145145
14,성북구,돈암동,51.54453830760743,37.23928027018643,65.06174299106425,57.16371729476366,49.405123067551614,58.39082780066832,46.036324538145145
15,성북구,길음동,51.52956645907341,37.23928027018643,65.06174299106425,57.3933992296197,47.47074667994718,57.995123819201595,75.23040601289262
16,성북구,하월곡동,51.52956645907341,37.23928027018643,65.06174299106425,58.02082005472515,50.4843779382026,59.1134100956872,75.23040601289262
17,성북구,정릉동,51.52956645907341,37.23928027018643,65.06174299106425,58.15479499197245,51.152860997736234,64.59132839113502,46.036324538145145
18,성북구,상월곡동,51.50305215627766,37.23928027018643,65.06174299106425,45.836842521758676,52.38228926114445,53.190519221563605,46.036324538145145
19,성북구,장위동,51.50305215627766,37.23928027018643,65.06174299106425,57.48028324370834,50.354598260277264,62.69339043000858,46.036324538145145
20,성북구,종암동,51.50305215627766,37.23928027018643,65.06174299106425,57.65238416851909,50.728091563205325,59.86316945927658,46.036324538145145
21,성북구,성북동,40.40693200130177,37.23928027018643,65.06174299106425,46.16335139628302,51.332179298168285,57.27220967684238,46.036324538145145
22,성북구,석관동,40.40693200130177,37.23928027018643,65.06174299106425,57.24447194033901,50.907023366030984,56.26974439638296,46.036324538145145
23,성북구,안암동5가,40.40693200130177,37.23928027018643,65.06174299106425,56.99521102096117,65.5767159898288,55.05579713729511,46.036324538145145
24,성북구,삼선동2가,40.40693200130177,37.23928027018643,65.06174299106425,45.42416158269311,51.26837899685854,52.51039639558329,46.036324538145145
25,성북구,안암동2가,40.40693200130177,37.23928027018643,65.06174299106425,45.33870082245069,62.016785177520035,50.25134468045445,46.036324538145145
26,성북구,삼선동3가,40.40693200130177,37.23928027018643,65.06174299106425,35.53165271416684,51.15897579145817,50.25134468045445,46.036324538145145
27,성북구,동선동2가,40.40693200130177,37.23928027018643,65.06174299106425,35.53165271416684,62.693509942481846,49.63790760869819,46.036324538145145
28,성북구,성북동1가,40.40693200130177,37.23928027018643,65.06174299106425,55.49019462987634,55.32908395778773,49.63790760869819,46.036324538145145
29,성북구,삼선동1가,40.40693200130177,37.23928027018643,65.06174299106425,45.820226411266546,53.80236508480378,48.93030629868386,46.036324538145145
30,성북구,삼선동5가,40.40693200130177,37.23928027018643,65.06174299106425,45.33870082245069,56.618814933519,48.93030629868386,46.036324538145145
31,성북구,보문동1가,40.40693200130177,37.23928027018643,65.06174299106425,35.53165271416684,52.26022569224055,48.09000824504064,46.036324538145145
32,성북구,안암동1가,40.40693200130177,37.23928027018643,65.06174299106425,35.53165271416684,57.789726432451744,47.04706512735716,46.036324538145145
33,성북구,동소문동7가,40.40693200130177,37.23928027018643,65.06174299106425,45.33870082245069,52.08241289485005,47.04706512735716,46.036324538145145
34,성북구,삼선동4가,40.40693200130177,37.23928027018643,65.06174299106425,45.820226411266546,55.86729768558364,47.04706512735716,46.036324538145145
35,성북구,동소문동2가,40.40693200130177,37.23928027018643,65.06174299106425,56.384081793200295,50.8651440422396,47.04706512735716,46.036324538145145
36,성북구,보문동7가,40.40693200130177,37.23928027018643,65.06174299106425,45.33870082245069,54.94783309837399,45.65093663887886,46.036324538145145
37,성북구,동소문동6가,40.40693200130177,37.23928027018643,65.06174299106425,46.491572924674024,60.69446938184625,45.65093663887886,46.036324538145145
38,성북구,동선동1가,40.40693200130177,37.23928027018643,65.06174299106425,56.640990678982,61.41506240051642,45.65093663887886,46.036324538145145
39,성북구,동선동4가,40.40693200130177,37.23928027018643,65.06174299106425,46.32431749744397,59.64827633568336,45.65093663887886,46.036324538145145
40,성북구,동소문동1가,40.40693200130177,37.23928027018643,65.06174299106425,56.00480370111699,56.99131096949607,45.65093663887886,46.036324538145145
