자치구명,법정동명,전세 보증금(평균),월세 보증금(평균),월세 임대료(평균)
강남구,개포동,65758.94740557713,28351.89155629139,132.6978476821192
강남구,논현동,39592.950710108606,8476.338756779307,98.73049645390071
강남구,대치동,81791.0594505945,34713.31590909091,134.24848484848485
강남구,도곡동,93331.94533527696,39874.98795180723,159.03521779425395
강남구,삼성동,70526.4827586207,19794.155152224823,154.38056206088993
강남구,세곡동,40738.01059602649,13581.300733496333,73.86552567237163
강남구,수서동,46770.610278372595,15555.204444444444,92.07777777777778
강남구,신사동,38860.64609053498,6337.439516129032,92.89516129032258
강남구,압구정동,87950.49615806805,34805.8091286307,220.12240663900414
강남구,역삼동,46040.3903803132,12400.347236981934,106.43969181721573
강남구,율현동,35443.76616915423,7998.858407079646,56.23893805309734
강남구,일원동,66748.43956043955,25544.231638418078,93.42050040355124
강남구,자곡동,41118.80047505938,9532.152917505031,58.286384976525824
강남구,청담동,79065.03633217994,23171.615074024226,205.63391655450874
강동구,강일동,27352.396794560467,5947.100197433366,27.37166831194472
강동구,고덕동,53484.875,19772.710729613733,88.4077253218884
강동구,길동,26030.522287636668,6355.049465240641,53.68248663101604
강동구,둔촌동,36181.68061366806,10757.263056092843,55.50676982591876
강동구,명일동,41162.15605095541,13296.740172579099,70.48130393096837
강동구,상일동,46260.74659753726,14071.334656084657,58.34126984126984
강동구,성내동,27260.140837411636,7859.754716981132,49.886792452830186
강동구,암사동,37152.456910569104,11134.870476190476,60.58412698412698
강동구,천호동,27361.050498110613,7141.127426424546,54.91358797745773
강북구,미아동,25911.523636363636,4907.137945149407,52.73679901760131
강북구,번동,20299.4377457405,3154.4607558139537,47.25
강북구,수유동,16418.87338893101,2760.419395465995,53.88916876574307
강북구,우이동,19406.653543307086,4498.662251655629,49.019867549668874
강서구,가양동,29600.14164785553,7413.490230905862,59.03730017761989
강서구,개화동,25957.14285714286,3610.0,42.5
강서구,공항동,17727.121756487028,2705.393586005831,49.3134110787172
강서구,내발산동,34242.263808139534,8756.045192307693,55.472115384615385
강서구,등촌동,28748.40787054064,6814.692972972973,61.45081081081081
강서구,마곡동,30343.980565875965,4917.680502457673,62.37383943200437
강서구,방화동,26113.10505836576,5059.53724340176,53.04046920821114
강서구,염창동,38225.39237826394,12996.606790799562,61.64184008762322
강서구,외발산동,15551.875,5473.684210526316,55.10526315789474
강서구,화곡동,22699.453738701726,5857.735963581184,53.60175349856685
관악구,남현동,26318.792325056434,6611.163659793814,51.11082474226804
관악구,봉천동,26550.83042082739,5751.221499655138,49.75849837422406
관악구,신림동,19699.559830015656,4017.7103558151884,48.40998406797663
광진구,광장동,55885.24918743229,22170.56652360515,95.13733905579399
광진구,구의동,32829.779971112184,8442.61189591078,60.39182156133829
광진구,군자동,20061.146209386283,4390.284190106692,50.25800193986421
광진구,능동,20183.39952718676,5342.957880434783,51.76766304347826
광진구,자양동,35404.515609595794,8650.283528352835,68.27332733273327
광진구,중곡동,20383.1285119667,6015.338765603328,49.09119278779473
광진구,화양동,17770.74717514124,2605.2505712109673,57.236862147753236
구로구,가리봉동,13391.073469387755,2645.434456928839,43.5374531835206
구로구,개봉동,26813.84881355932,6433.166191155492,54.24251069900143
구로구,고척동,24978.216279069766,8331.438972162741,47.38115631691649
구로구,구로동,25229.80636515913,4468.8146221248635,52.92579408543264
구로구,궁동,16624.661016949154,4497.536170212766,39.208510638297874
구로구,신도림동,44841.578277886496,16095.944029850747,85.83333333333333
구로구,오류동,21126.420023014958,4404.97610619469,44.13008849557522
구로구,온수동,23672.462686567163,5402.836879432624,57.56028368794326
구로구,천왕동,21984.765696784074,6106.034394904458,19.907006369426753
구로구,항동,38755.19047619047,7800.95421686747,29.843373493975903
금천구,가산동,19387.846315789473,4178.2244675040965,46.46641179683233
금천구,독산동,23917.877906976744,8840.379799020871,53.0242205617109
금천구,시흥동,20658.35493230174,4589.833333333333,45.12981859410431
노원구,공릉동,26678.923229649237,4392.082581227437,48.65703971119134
노원구,상계동,23986.546963341236,5023.8598220726135,55.08199086318827
노원구,월계동,27265.980392156864,5465.070660522273,61.105222734254994
노원구,중계동,34576.3077212806,8824.381355932202,69.91101694915254
노원구,하계동,31008.47493163172,6356.692212608158,64.21013597033375
도봉구,도봉동,22095.324873096448,3369.195707070707,55.33838383838384
도봉구,방학동,21595.009756097563,3740.7620253164555,51.321518987341776
도봉구,쌍문동,21367.66390728477,4211.636687444346,51.258236865538734
도봉구,창동,24110.082371794873,4588.722736625515,59.63065843621399
동대문구,답십리동,37030.814234016885,7035.660182370821,66.70395136778116
동대문구,신설동,20091.424778761062,3243.6395759717316,67.58303886925795
동대문구,용두동,34456.095659875995,5987.079397672826,77.67419575633129
동대문구,이문동,26408.526737967914,3055.5684713375795,54.26035031847134
동대문구,장안동,29418.14522546419,7038.2574061882815,66.63923633969716
동대문구,전농동,35381.7075596817,7771.190436241611,70.26090604026845
동대문구,제기동,23992.88292682927,3522.263076923077,57.52
동대문구,청량리동,24416.11923076923,3711.7054009819967,67.9721767594108
동대문구,회기동,22100.97265625,2803.0489864864867,60.7804054054054
동대문구,휘경동,26838.246260069045,5339.536720044174,51.34842628382109
동작구,노량진동,28728.603021978022,3339.548710601719,52.2714899713467
동작구,대방동,32411.65402843602,7901.707386363636,55.55113636363637
동작구,동작동,70547.15909090909,35074.02597402597,112.01298701298701
동작구,본동,44209.151670951156,16431.87659574468,73.88085106382978
동작구,사당동,34100.064605021435,8246.209706257981,55.275862068965516
동작구,상도1동,18217.241379310344,3197.831683168317,53.771039603960396
