구,1인당 공원면적
종로구,19.85
중구,10.63
용산구,6.91
성동구,10.08
광진구,3.85
동대문구,2.97
중랑구,4.83
성북구,3.80
강북구,6.90
도봉구,3.57
노원구,3.73
은평구,4.71
서대문구,3.52
마포구,11.57
양천구,4.97
강서구,6.14
구로구,3.96
금천구,2.32
영등포구,7.43
동작구,5.94
관악구,3.93
서초구,5.42
강남구,6.85
송파구,6.58
강동구,4.58
