index,gu,dong,libraryCount,busStation,cultureCount,medicalCount,crimeRate,youthRate,jeonseDeposit,monthDeposit,monthRent,supermarket,parkRate,academyCount,id,libraryCountRank,busStationRank,cultureCountRank,medicalCountRank,crimeRateRank,youthRateRank,supermarketRank,parkRateRank,academyCountRank
41,성북구,동소문동3가,0.0,2.0,0.0,6.0,6.459086188504753,25.0,13000.0,1500.0,67.5,0.0,3.8,26,42,132.0,341.0,280.0,225.0,426.0,168.0,64.0,384.0,382.0
42,성북구,동소문동4가,0.0,2.0,0.0,6.0,6.459086188504753,29.495686794956868,26490.079365079364,5531.428571428572,49.32857142857143,0.0,3.8,26,43,132.0,341.0,280.0,225.0,426.0,109.0,64.0,384.0,382.0
43,성북구,동소문동5가,0.0,2.0,0.0,2.0,6.459086188504753,26.601423487544483,41464.28571428572,8061.458333333333,71.25,0.0,3.8,26,44,132.0,341.0,280.0,288.0,426.0,134.0,64.0,384.0,382.0
44,성북구,보문동4가,0.0,1.0,0.0,2.0,6.459086188504753,25.21276595744681,22223.07692307692,4839.285714285715,61.5,0.0,3.8,26,45,132.0,380.0,280.0,288.0,426.0,159.0,64.0,384.0,382.0
45,성북구,보문동5가,0.0,1.0,0.0,6.0,6.459086188504753,29.026845637583893,12991.07142857143,2734.7195121951218,49.18292682926829,0.0,3.8,26,46,132.0,380.0,280.0,225.0,426.0,113.0,64.0,384.0,382.0
46,성북구,보문동2가,0.0,1.0,0.0,2.0,6.459086188504753,38.62959285004965,17833.3,4326.153846153846,61.61538461538461,0.0,3.8,26,47,132.0,380.0,280.0,288.0,426.0,47.0,64.0,384.0,382.0
47,성북구,보문동3가,0.0,1.0,0.0,0.0,6.459086188504753,19.726027397260275,48134.14634146341,13693.333333333334,83.0,0.0,3.8,26,48,132.0,380.0,280.0,345.0,426.0,286.0,64.0,384.0,382.0
48,성북구,안암동4가,0.0,1.0,0.0,0.0,6.459086188504753,38.91675025075226,13636.363636363636,3488.5714285714284,43.68571428571428,0.0,3.8,26,49,132.0,380.0,280.0,345.0,426.0,45.0,64.0,384.0,382.0
49,성북구,동선동5가,0.0,1.0,0.0,0.0,6.459086188504753,34.01459854014598,20483.783783783783,3882.875,55.0,0.0,3.8,26,50,132.0,380.0,280.0,345.0,426.0,75.0,64.0,384.0,382.0
50,성북구,동선동3가,0.0,0.0,2.0,0.0,6.459086188504753,42.83222881060342,16272.982456140351,2222.078651685393,53.09550561797753,0.0,3.8,26,51,132.0,427.0,121.0,345.0,426.0,37.0,64.0,384.0,382.0
51,성북구,안암동3가,0.0,0.0,0.0,0.0,6.459086188504753,30.016357688113416,16222.101449275362,2513.18085106383,56.1063829787234,0.0,3.8,26,52,132.0,427.0,280.0,345.0,426.0,98.0,64.0,384.0,382.0
52,성북구,보문동6가,0.0,0.0,0.0,0.0,6.459086188504753,22.530864197530864,41311.31868131869,8454.11855670103,58.329896907216494,0.0,3.8,26,53,132.0,427.0,280.0,345.0,426.0,204.0,64.0,384.0,382.0
53,구로구,구로동,5.0,150.0,11.0,168.0,9.829130617601711,24.48933053842848,25229.80636515913,4468.814622124864,52.92579408543264,2.0,3.96,45,54,1.0,9.0,9.0,7.0,296.0,182.0,4.0,364.0,250.0
54,구로구,개봉동,2.0,84.0,3.0,56.0,9.829130617601711,18.59336713651471,26813.84881355932,6433.166191155492,54.24251069900143,0.0,3.96,45,55,17.0,29.0,84.0,55.0,296.0,313.0,64.0,364.0,250.0
55,구로구,고척동,2.0,68.0,3.0,42.0,9.829130617601711,20.67947956387606,24978.21627906977,8331.438972162741,47.38115631691649,1.0,3.96,45,56,17.0,42.0,84.0,82.0,296.0,252.0,23.0,364.0,250.0
56,구로구,신도림동,1.0,33.0,4.0,26.0,9.829130617601711,19.33162953497417,44841.578277886496,16095.944029850749,85.83333333333333,1.0,3.96,45,57,47.0,111.0,58.0,122.0,296.0,295.0,23.0,364.0,250.0
57,구로구,궁동,1.0,26.0,1.0,4.0,9.829130617601711,19.064670915992263,16624.661016949154,4497.536170212766,39.208510638297874,0.0,3.96,45,58,47.0,133.0,173.0,255.0,296.0,301.0,64.0,364.0,250.0
58,구로구,항동,1.0,20.0,1.0,2.0,9.829130617601711,15.720844811753905,38755.19047619047,7800.95421686747,29.843373493975903,0.0,3.96,45,59,47.0,157.0,173.0,288.0,296.0,388.0,64.0,364.0,250.0
59,구로구,오류동,0.0,51.0,3.0,32.0,9.829130617601711,24.274442538593483,21126.42002301496,4404.97610619469,44.13008849557522,0.0,3.96,45,60,132.0,65.0,84.0,107.0,296.0,185.0,64.0,364.0,250.0
60,구로구,천왕동,0.0,22.0,0.0,4.0,9.829130617601711,16.727295147666318,21984.76569678408,6106.034394904458,19.90700636942676,0.0,3.96,45,61,132.0,145.0,280.0,255.0,296.0,367.0,64.0,364.0,250.0
61,구로구,온수동,0.0,11.0,0.0,4.0,9.829130617601711,17.585931254996005,23672.462686567163,5402.836879432624,57.56028368794326,0.0,3.96,45,62,132.0,198.0,280.0,255.0,296.0,351.0,64.0,364.0,250.0
62,구로구,가리봉동,0.0,8.0,0.0,10.0,9.829130617601711,29.20374172940908,13391.073469387757,2645.434456928839,43.5374531835206,0.0,3.96,45,63,132.0,221.0,280.0,193.0,296.0,112.0,64.0,364.0,250.0
63,송파구,잠실동,3.0,44.0,15.0,108.0,7.898606775650217,18.90447183264863,66254.22910884983,23522.18504572351,117.8975255513717,1.0,6.58,100,64,6.0,76.0,4.0,19.0,361.0,305.0,23.0,290.0,179.0
64,송파구,장지동,2.0,53.0,2.0,16.0,7.898606775650217,15.751110699740837,50658.65625,16105.50164654226,70.07464324917673,0.0,6.58,100,65,17.0,62.0,121.0,149.0,361.0,386.0,64.0,290.0,179.0
65,송파구,거여동,1.0,27.0,2.0,32.0,7.898606775650217,18.078098600907417,38728.54161712247,9809.906081601232,52.39491916859122,0.0,6.58,100,66,47.0,128.0,121.0,107.0,361.0,330.0,64.0,290.0,179.0
66,송파구,석촌동,1.0,19.0,1.0,52.0,7.898606775650217,29.21406747708509,26145.95446735396,8107.911975435005,52.54657113613101,0.0,6.58,100,67,47.0,160.0,173.0,61.0,361.0,110.0,64.0,290.0,179.0
67,송파구,오금동,1.0,36.0,1.0,26.0,7.898606775650217,19.49857001576992,40508.75262054507,12967.003115264795,64.16822429906541,0.0,6.58,100,68,47.0,100.0,173.0,122.0,361.0,293.0,64.0,290.0,179.0
68,송파구,마천동,1.0,25.0,1.0,38.0,7.898606775650217,17.370522409042344,20948.67102396514,5487.437185929648,38.6821608040201,0.0,6.58,100,69,47.0,135.0,173.0,87.0,361.0,355.0,64.0,290.0,179.0
69,송파구,방이동,1.0,43.0,5.0,62.0,7.898606775650217,25.348208248816768,38428.74980544747,9926.215616045843,76.77829512893983,0.0,6.58,100,70,47.0,79.0,44.0,48.0,361.0,153.0,64.0,290.0,179.0
70,송파구,문정동,0.0,62.0,2.0,70.0,7.898606775650217,27.163488936288,36190.62188168211,8491.221008673305,76.65531641503372,2.0,6.58,100,71,132.0,48.0,121.0,44.0,361.0,129.0,4.0,290.0,179.0
71,송파구,가락동,0.0,54.0,1.0,94.0,7.898606775650217,20.34197410154293,57711.81108312342,18952.655235204857,79.93596358118361,0.0,6.58,100,72,132.0,57.0,173.0,25.0,361.0,264.0,64.0,290.0,179.0
72,송파구,풍납동,0.0,29.0,2.0,66.0,7.898606775650217,20.57414919990985,39122.11847389559,10867.313915857603,56.86299892125135,0.0,6.58,100,73,132.0,120.0,121.0,47.0,361.0,259.0,64.0,290.0,179.0
73,송파구,송파동,0.0,28.0,6.0,46.0,7.898606775650217,26.19411175263636,34430.46717877095,10161.571584104518,56.88241698421339,0.0,6.58,100,74,132.0,122.0,34.0,75.0,361.0,140.0,64.0,290.0,179.0
74,송파구,신천동,0.0,20.0,3.0,68.0,7.898606775650217,14.41071191833488,78846.44838976052,36862.124633431085,156.5601173020528,2.0,6.58,100,75,132.0,157.0,84.0,45.0,361.0,404.0,4.0,290.0,179.0
75,송파구,삼전동,0.0,14.0,1.0,30.0,7.898606775650217,28.84608770421324,23877.887021475257,8535.406779661016,49.72681954137588,0.0,6.58,100,76,132.0,180.0,173.0,111.0,361.0,115.0,64.0,290.0,179.0
76,양천구,신정동,4.0,165.0,7.0,118.0,7.267881879145376,17.86756414280566,38610.82720891825,10592.739042675894,55.174740484429066,0.0,4.97,34,77,4.0,6.0,25.0,15.0,410.0,337.0,64.0,335.0,370.0
77,양천구,목동,3.0,109.0,7.0,148.0,7.267881879145376,18.878322293378776,44364.39578352533,17888.265950302215,79.11182001343184,3.0,4.97,34,78,6.0,17.0,25.0,8.0,410.0,306.0,1.0,335.0,370.0
78,양천구,신월동,3.0,82.0,5.0,102.0,7.267881879145376,18.40399128805146,24091.91963048499,5118.048341765037,54.5300730747611,1.0,4.97,34,79,6.0,31.0,44.0,21.0,410.0,318.0,23.0,335.0,370.0
79,도봉구,쌍문동,3.0,95.0,6.0,62.0,6.975122822106677,19.685481221942407,21367.66390728477,4211.636687444346,51.258236865538734,0.0,3.57,18,80,6.0,22.0,34.0,48.0,422.0,288.0,64.0,428.0,461.0
80,도봉구,도봉동,2.0,83.0,4.0,30.0,6.975122822106677,16.710840756028677,22095.324873096448,3369.195707070707,55.33838383838384,0.0,3.57,18,81,17.0,30.0,58.0,111.0,422.0,368.0,64.0,428.0,461.0
81,도봉구,창동,2.0,119.0,7.0,80.0,6.975122822106677,19.788346958570045,24110.08237179488,4588.722736625515,59.63065843621399,1.0,3.57,18,82,17.0,16.0,25.0,35.0,422.0,281.0,23.0,428.0,461.0
82,도봉구,방학동,2.0,85.0,8.0,54.0,6.975122822106677,17.319223011245892,21595.009756097563,3740.762025316456,51.321518987341776,1.0,3.57,18,83,17.0,27.0,18.0,58.0,422.0,357.0,23.0,428.0,461.0
83,서초구,서초동,3.0,166.0,21.0,212.0,10.937929275089289,21.95117358515436,63883.670848267626,19970.19906566312,122.62003633532312,1.0,5.42,278,84,6.0,5.0,1.0,1.0,272.0,213.0,23.0,325.0,15.0
84,서초구,방배동,2.0,156.0,3.0,90.0,10.937929275089289,19.29661312664559,53721.64334655608,16989.518150684933,90.62534246575342,0.0,5.42,278,85,17.0,7.0,84.0,29.0,272.0,296.0,64.0,325.0,15.0
85,서초구,신원동,1.0,22.0,1.0,2.0,10.937929275089289,16.90176322418136,46603.07238605898,13172.602040816326,79.50340136054422,0.0,5.42,278,86,47.0,145.0,173.0,288.0,272.0,362.0,64.0,325.0,15.0
86,서초구,반포동,1.0,80.0,9.0,78.0,10.937929275089289,16.76031444549963,103086.2593486128,40517.76108374384,201.68103448275863,1.0,5.42,278,87,47.0,33.0,13.0,38.0,272.0,364.0,23.0,325.0,15.0
87,서초구,양재동,1.0,70.0,6.0,48.0,10.937929275089289,24.97754070746772,32631.303341902312,8377.235331230284,62.96971608832808,2.0,5.42,278,88,47.0,40.0,34.0,68.0,272.0,171.0,4.0,325.0,15.0
88,서초구,잠원동,1.0,37.0,3.0,48.0,10.937929275089289,17.240629448046814,76829.46405980448,28929.53561643836,141.71917808219175,0.0,5.42,278,89,47.0,96.0,84.0,68.0,272.0,359.0,64.0,325.0,15.0
89,서초구,우면동,0.0,39.0,2.0,10.0,10.937929275089289,15.818467038780051,40625.449343339584,15554.157199471598,65.32892998678996,0.0,5.42,278,90,132.0,90.0,121.0,193.0,272.0,383.0,64.0,325.0,15.0
90,서초구,내곡동,0.0,28.0,2.0,8.0,10.937929275089289,14.846209736013565,43423.91542288557,14267.881720430109,64.74551971326164,0.0,5.42,278,91,132.0,122.0,121.0,205.0,272.0,400.0,64.0,325.0,15.0
91,서초구,염곡동,0.0,11.0,1.0,0.0,10.937929275089289,16.33266533066132,31222.222222222223,14700.0,99.82352941176472,0.0,5.42,278,92,132.0,198.0,173.0,345.0,272.0,374.0,64.0,325.0,15.0
92,서초구,원지동,0.0,5.0,0.0,0.0,10.937929275089289,10.276679841897234,0.0,6000.0,77.5,0.0,5.42,278,93,132.0,266.0,280.0,345.0,272.0,424.0,64.0,325.0,15.0
93,동대문구,용두동,2.0,27.0,3.0,34.0,9.535422938364174,27.21620999309233,34456.095659875995,5987.079397672826,77.67419575633129,1.0,2.97,59,94,17.0,128.0,84.0,99.0,306.0,127.0,23.0,452.0,202.0
94,동대문구,휘경동,2.0,31.0,1.0,36.0,9.535422938364174,33.07899461400359,26838.246260069045,5339.536720044174,51.34842628382109,0.0,2.97,59,95,17.0,117.0,173.0,92.0,306.0,83.0,64.0,452.0,202.0
95,동대문구,답십리동,1.0,42.0,3.0,54.0,9.535422938364174,21.06546715803165,37030.814234016885,7035.660182370821,66.70395136778116,0.0,2.97,59,96,47.0,80.0,84.0,58.0,306.0,239.0,64.0,452.0,202.0
96,동대문구,청량리동,1.0,22.0,3.0,44.0,9.535422938364174,18.119731085263048,24416.11923076923,3711.7054009819967,67.9721767594108,0.0,2.97,59,97,47.0,145.0,84.0,78.0,306.0,327.0,64.0,452.0,202.0
97,동대문구,전농동,1.0,47.0,3.0,56.0,9.535422938364174,20.51880674448768,35381.7075596817,7771.190436241611,70.26090604026845,2.0,2.97,59,98,47.0,70.0,84.0,55.0,306.0,260.0,4.0,452.0,202.0
98,동대문구,신설동,1.0,10.0,2.0,8.0,9.535422938364174,41.10747408619749,20091.424778761066,3243.639575971732,67.58303886925795,0.0,2.97,59,99,47.0,203.0,121.0,205.0,306.0,40.0,64.0,452.0,202.0
99,동대문구,장안동,1.0,61.0,2.0,96.0,9.535422938364174,20.158965723907645,29418.14522546419,7038.2574061882815,66.63923633969716,0.0,2.97,59,100,47.0,49.0,121.0,24.0,306.0,272.0,64.0,452.0,202.0
100,동대문구,이문동,0.0,38.0,2.0,38.0,9.535422938364174,27.43246152190292,26408.52673796792,3055.5684713375795,54.26035031847134,0.0,2.97,59,101,132.0,93.0,121.0,87.0,306.0,124.0,64.0,452.0,202.0
101,동대문구,제기동,0.0,28.0,5.0,128.0,9.535422938364174,26.12322933866342,23992.88292682927,3522.263076923077,57.52,0.0,2.97,59,102,132.0,122.0,44.0,13.0,306.0,141.0,64.0,452.0,202.0
102,동대문구,회기동,0.0,10.0,1.0,32.0,9.535422938364174,42.37059842216663,22100.97265625,2803.0489864864867,60.7804054054054,0.0,2.97,59,103,132.0,203.0,173.0,107.0,306.0,38.0,64.0,452.0,202.0
103,노원구,중계동,3.0,75.0,8.0,80.0,7.819948495924434,16.116066567007554,34576.3077212806,8824.381355932202,69.91101694915254,2.0,3.73,52,104,6.0,35.0,18.0,35.0,374.0,379.0,4.0,423.0,232.0
104,노원구,상계동,2.0,179.0,8.0,212.0,7.819948495924434,19.64544248817973,23986.54696334124,5023.8598220726135,55.08199086318827,1.0,3.73,52,105,17.0,4.0,18.0,1.0,374.0,289.0,23.0,423.0,232.0
