,자치구,법정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
445,송파구,마천동,38.0,35566,0.0010684361468818536,0.10684361468818536
446,강동구,명일동,76.0,42314,0.0017960958547998298,0.17960958547998299
447,강동구,고덕동,24.0,46758,0.0005132811497497754,0.05132811497497754
448,강동구,상일동,22.0,51053,0.00043092472528548766,0.04309247252854877
449,강동구,길동,74.0,44675,0.0016564073866815892,0.16564073866815893
450,강동구,둔촌동,34.0,24349,0.0013963612468684545,0.13963612468684544
451,강동구,암사동,48.0,65775,0.0007297605473204105,0.07297605473204105
452,강동구,성내동,84.0,65333,0.001285720845514518,0.1285720845514518
453,강동구,천호동,118.0,84811,0.0013913289549704637,0.13913289549704635
454,강동구,강일동,30.0,34099,0.0008797911962227632,0.08797911962227632
