,자치구,법정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
119,중구,필동3가,2.0,954,0.0020964360587002098,0.20964360587002098
120,중구,남학동,,43,,
121,중구,주자동,,17,,
122,중구,예장동,,778,,
123,중구,장충동1가,2.0,1704,0.0011737089201877935,0.11737089201877934
124,중구,장충동2가,,2851,,
125,중구,광희동1가,2.0,345,0.005797101449275362,0.5797101449275363
126,중구,광희동2가,2.0,838,0.002386634844868735,0.23866348448687352
127,중구,쌍림동,2.0,582,0.003436426116838488,0.3436426116838488
128,중구,을지로6가,12.0,156,0.07692307692307693,7.6923076923076925
129,중구,을지로7가,,49,,
130,중구,을지로4가,6.0,120,0.05,5.0
131,중구,을지로5가,,418,,
132,중구,주교동,,259,,
133,중구,방산동,,42,,
134,중구,오장동,2.0,711,0.0028129395218002813,0.2812939521800281
135,중구,을지로3가,2.0,220,0.00909090909090909,0.9090909090909091
136,중구,입정동,,1420,,
137,중구,산림동,,140,,
138,중구,충무로3가,,254,,
139,중구,초동,2.0,76,0.02631578947368421,2.631578947368421
140,중구,인현동1가,,79,,
141,중구,저동2가,8.0,254,0.031496062992125984,3.149606299212598
142,중구,신당동,72.0,67433,0.0010677264840656651,0.10677264840656651
143,중구,흥인동,6.0,2266,0.00264783759929391,0.264783759929391
144,중구,무학동,4.0,216,0.018518518518518517,1.8518518518518516
145,중구,황학동,12.0,12697,0.0009451051429471528,0.09451051429471528
146,중구,서소문동,10.0,21,0.47619047619047616,47.61904761904761
147,중구,정동,,527,,
148,중구,순화동,,1217,,
149,중구,의주로1가,,220,,
150,중구,중림동,8.0,6353,0.0012592475995592634,0.12592475995592634
151,중구,의주로2가,,8,,
152,중구,만리동1가,,1320,,
153,중구,만리동2가,4.0,4467,0.0008954555630176853,0.08954555630176853
154,용산구,후암동,14.0,15998,0.0008751093886735842,0.08751093886735842
155,용산구,용산동2가,8.0,8910,0.0008978675645342312,0.08978675645342313
156,용산구,용산동4가,,2,,
157,용산구,갈월동,12.0,2748,0.004366812227074236,0.43668122270742354
158,용산구,남영동,6.0,604,0.009933774834437087,0.9933774834437087
159,용산구,동자동,8.0,3477,0.0023008340523439745,0.23008340523439746
160,용산구,서계동,6.0,4812,0.0012468827930174563,0.12468827930174563
161,용산구,청파동1가,4.0,7184,0.0005567928730512249,0.05567928730512249
162,용산구,청파동2가,6.0,3306,0.0018148820326678765,0.18148820326678766
163,용산구,청파동3가,6.0,3541,0.0016944365998305564,0.16944365998305563
164,용산구,원효로1가,4.0,6857,0.0005833454863642993,0.05833454863642993
165,용산구,원효로2가,10.0,1730,0.005780346820809248,0.5780346820809248
166,용산구,신창동,,2279,,
167,용산구,산천동,,4922,,
168,용산구,청암동,,643,,
169,용산구,원효로3가,4.0,2093,0.0019111323459149545,0.19111323459149546
170,용산구,원효로4가,2.0,3699,0.0005406866720735334,0.054068667207353344
171,용산구,효창동,12.0,10685,0.0011230697239120262,0.11230697239120262
172,용산구,도원동,4.0,5306,0.0007538635506973238,0.07538635506973237
173,용산구,용문동,2.0,6101,0.00032781511227667593,0.03278151122766759
174,용산구,문배동,2.0,5681,0.0003520506953001232,0.035205069530012324
175,용산구,신계동,,2739,,
176,용산구,한강로1가,2.0,3206,0.0006238303181534623,0.06238303181534623
177,용산구,한강로2가,20.0,7255,0.0027567195037904893,0.2756719503790489
178,용산구,용산동3가,,269,,
179,용산구,용산동5가,,2379,,
180,용산구,한강로3가,26.0,7907,0.003288225622865815,0.3288225622865815
181,용산구,이촌동,22.0,32801,0.0006707112588030852,0.06707112588030853
182,용산구,이태원동,12.0,14683,0.0008172716747258734,0.08172716747258735
183,용산구,한남동,22.0,17755,0.001239087580963109,0.12390875809631091
184,용산구,동빙고동,,6014,,
