구,동,빈도수
종로구,관훈동,2
종로구,와룡동,2
종로구,운니동,2
종로구,송월동,1
종로구,홍파동,1
종로구,명륜4가,1
종로구,묘동,1
종로구,장사동,1
종로구,관수동,1
종로구,사간동,1
종로구,송현동,1
종로구,신교동,1
종로구,궁정동,1
종로구,효자동,1
종로구,창성동,1
종로구,누상동,1
종로구,옥인동,1
종로구,체부동,1
종로구,서린동,1
종로구,중학동,1
종로구,권농동,1
종로구,인사동,1
종로구,낙원동,1
종로구,팔판동,1
종로구,소격동,1
종로구,화동,1
양천구,신정동,165
양천구,목동,109
양천구,신월동,82
용산구,한남동,42
용산구,이촌동,33
용산구,이태원동,32
용산구,용산동2가,26
용산구,한강로3가,22
용산구,후암동,17
용산구,효창동,15
용산구,서빙고동,13
용산구,보광동,11
용산구,청파동2가,10
용산구,원효로1가,10
용산구,용문동,10
용산구,한강로2가,10
용산구,갈월동,9
용산구,서계동,8
용산구,원효로4가,8
용산구,용산동6가,7
용산구,동자동,6
용산구,동빙고동,6
용산구,문배동,6
용산구,용산동4가,5
용산구,원효로2가,5
용산구,도원동,5
용산구,신창동,4
용산구,청암동,4
용산구,원효로3가,4
용산구,한강로1가,4
용산구,남영동,3
용산구,용산동1가,3
용산구,청파동1가,3
용산구,청파동3가,3
용산구,신계동,3
용산구,용산동5가,3
용산구,산천동,2
용산구,용산동3가,1
금천구,시흥동,132
금천구,독산동,109
금천구,가산동,89
동대문구,장안동,61
동대문구,전농동,47
동대문구,답십리동,42
동대문구,이문동,38
동대문구,휘경동,31
동대문구,제기동,28
동대문구,용두동,27
동대문구,청량리동,22
동대문구,신설동,10
동대문구,회기동,10
광진구,중곡동,90
광진구,자양동,57
광진구,구의동,55
광진구,광장동,36
광진구,군자동,25
광진구,화양동,18
광진구,능동,8
중구,신당동,44
중구,남대문로5가,10
중구,태평로2가,9
중구,중림동,8
중구,장충동2가,7
중구,봉래동2가,6
중구,태평로1가,6
중구,남대문로3가,6
중구,황학동,6
중구,남창동,5
중구,남대문로2가,5
중구,을지로6가,5
중구,을지로7가,5
중구,의주로1가,5
중구,봉래동1가,4
중구,광희동2가,4
중구,장충동1가,4
중구,을지로2가,3
중구,쌍림동,3
중구,을지로4가,3
중구,을지로5가,3
중구,방산동,3
중구,서소문동,3
중구,정동,3
중구,만리동1가,3
중구,회현동1가,3
중구,필동1가,3
중구,을지로1가,2
중구,남대문로1가,2
중구,소공동,2
중구,주교동,2
중구,을지로3가,2
중구,흥인동,2
중구,순화동,2
중구,만리동2가,2
중구,회현동2가,2
중구,충무로1가,2
중구,저동1가,2
중구,충무로4가,2
중구,예장동,2
중구,삼각동,1
중구,수표동,1
중구,광희동1가,1
중구,입정동,1
중구,초동,1
중구,무학동,1
중구,충정로1가,1
중구,충무로2가,1
중구,남산동1가,1
중구,충무로5가,1
중구,예관동,1
중구,묵정동,1
중구,필동2가,1
