,자치구,법정동,총 인구수,청소년층(0~19세),청년층(20~34세),노년층(65세 이상),청소년층(0~19세) 백분율,청년층(20~34세) 백분율,노년층(65세~) 백분율
0,종로구,청운동,2289,432,414,414,18.872870249017037,18.086500655307994,18.086500655307994
1,종로구,신교동,1340,202,269,223,15.074626865671641,20.07462686567164,16.64179104477612
2,종로구,궁정동,211,41,41,16,19.431279620853083,19.431279620853083,7.5829383886255926
3,종로구,효자동,570,75,113,91,13.157894736842104,19.824561403508774,15.964912280701753
4,종로구,창성동,404,49,67,92,12.128712871287128,16.584158415841586,22.772277227722775
5,종로구,통의동,319,38,92,59,11.912225705329153,28.84012539184953,18.495297805642632
6,종로구,적선동,38,3,6,13,7.894736842105263,15.789473684210526,34.21052631578947
7,종로구,통인동,718,77,146,184,10.724233983286908,20.334261838440113,25.62674094707521
8,종로구,누상동,3174,472,583,581,14.870825456836801,18.367989918084433,18.304977945809703
9,종로구,누하동,780,85,157,178,10.897435897435898,20.128205128205128,22.82051282051282
10,종로구,옥인동,1863,247,415,383,13.258185721953838,22.27589908749329,20.558239398819108
11,종로구,체부동,693,82,128,168,11.832611832611832,18.47041847041847,24.242424242424242
12,종로구,필운동,981,117,216,184,11.926605504587156,22.018348623853214,18.75637104994903
13,종로구,내자동,83,6,13,35,7.228915662650602,15.66265060240964,42.168674698795186
14,종로구,사직동,3172,446,551,675,14.060529634300126,17.370744010088274,21.279949558638084
15,종로구,도렴동,2,0,0,0,0.0,0.0,0.0
16,종로구,당주동,282,44,36,73,15.602836879432624,12.76595744680851,25.886524822695034
17,종로구,내수동,2642,275,653,504,10.40878122634368,24.716124148372444,19.076457229371687
18,종로구,신문로1가,74,15,6,20,20.27027027027027,8.108108108108109,27.027027027027028
19,종로구,신문로2가,712,97,133,121,13.623595505617978,18.679775280898877,16.99438202247191
20,종로구,청진동,53,2,8,12,3.7735849056603774,15.09433962264151,22.641509433962266
21,종로구,서린동,2,0,0,0,0.0,0.0,0.0
22,종로구,수송동,239,25,38,66,10.460251046025103,15.899581589958158,27.615062761506277
23,종로구,중학동,4,0,1,2,0.0,25.0,50.0
24,종로구,종로1가,106,6,27,16,5.660377358490567,25.471698113207548,15.09433962264151
25,종로구,공평동,1,0,0,1,0.0,0.0,100.0
26,종로구,관훈동,111,4,15,43,3.6036036036036037,13.513513513513514,38.73873873873874
27,종로구,견지동,231,31,41,42,13.41991341991342,17.74891774891775,18.181818181818183
28,종로구,와룡동,94,3,11,35,3.1914893617021276,11.702127659574469,37.234042553191486
29,종로구,권농동,133,9,11,50,6.7669172932330826,8.270676691729323,37.59398496240601
30,종로구,운니동,169,16,44,35,9.467455621301776,26.035502958579883,20.710059171597635
31,종로구,익선동,1009,55,269,189,5.450941526263628,26.660059464816648,18.731417244796827
32,종로구,경운동,255,6,83,54,2.3529411764705883,32.549019607843135,21.176470588235293
33,종로구,관철동,244,1,108,35,0.4098360655737705,44.26229508196721,14.344262295081966
34,종로구,인사동,82,0,9,36,0.0,10.975609756097562,43.90243902439025
35,종로구,낙원동,848,46,142,307,5.4245283018867925,16.745283018867923,36.20283018867924
36,종로구,종로2가,53,0,11,16,0.0,20.754716981132077,30.18867924528302
37,종로구,팔판동,272,21,44,82,7.720588235294118,16.176470588235293,30.14705882352941
38,종로구,삼청동,1259,152,228,328,12.073073868149326,18.109610802223987,26.052422557585388
39,종로구,안국동,251,23,42,76,9.163346613545817,16.733067729083665,30.278884462151396
40,종로구,소격동,134,17,13,43,12.686567164179104,9.701492537313433,32.08955223880597
41,종로구,화동,203,24,33,52,11.822660098522167,16.25615763546798,25.615763546798032
42,종로구,사간동,129,12,18,27,9.30232558139535,13.953488372093023,20.930232558139537
43,종로구,가회동,979,116,142,222,11.8488253319714,14.504596527068436,22.676200204290094
44,종로구,재동,85,6,11,27,7.0588235294117645,12.941176470588237,31.76470588235294
45,종로구,계동,1031,126,163,249,12.221144519883609,15.809893307468478,24.151309408341415
46,종로구,원서동,1765,214,356,352,12.124645892351275,20.1699716713881,19.943342776203966
47,종로구,묘동,34,0,1,13,0.0,2.941176470588235,38.23529411764706
48,종로구,봉익동,58,1,7,18,1.7241379310344827,12.068965517241379,31.03448275862069
49,종로구,돈의동,788,9,11,376,1.1421319796954315,1.3959390862944163,47.71573604060914
50,종로구,장사동,71,2,10,25,2.8169014084507045,14.084507042253522,35.2112676056338
51,종로구,관수동,383,4,143,63,1.0443864229765014,37.33681462140992,16.449086161879894
52,종로구,종로3가,124,1,22,31,0.8064516129032258,17.741935483870968,25.0
53,종로구,인의동,1050,135,249,178,12.857142857142856,23.714285714285715,16.952380952380953
54,종로구,예지동,36,0,3,12,0.0,8.333333333333332,33.33333333333333
55,종로구,원남동,504,16,255,88,3.1746031746031744,50.595238095238095,17.46031746031746
56,종로구,연지동,875,32,520,89,3.6571428571428575,59.42857142857143,10.17142857142857
57,종로구,종로4가,23,2,0,5,8.695652173913043,0.0,21.73913043478261
58,종로구,효제동,828,18,437,120,2.1739130434782608,52.77777777777778,14.492753623188406
59,종로구,종로5가,225,4,61,72,1.7777777777777777,27.111111111111114,32.0
60,종로구,종로6가,460,32,71,136,6.956521739130435,15.434782608695652,29.565217391304348
61,종로구,이화동,1681,118,465,368,7.019631171921476,27.66210588935158,21.891731112433074
62,종로구,연건동,1599,102,740,265,6.378986866791744,46.278924327704814,16.57285803627267
63,종로구,충신동,2996,273,643,653,9.11214953271028,21.461949265687583,21.795727636849133
64,종로구,동숭동,3619,267,1073,741,7.3777286543243985,29.649074329925394,20.475269411439626
