Region,Value
종로구,142
중구,45
용산구,22
성동구,45
광진구,63
동대문구,59
중랑구,27
성북구,26
강북구,24
도봉구,18
노원구,52
은평구,35
서대문구,59
마포구,188
양천구,34
강서구,47
구로구,45
금천구,34
영등포구,129
동작구,122
관악구,87
서초구,278
강남구,493
송파구,100
강동구,43
