,자치구,법정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
119,중구,필동3가,1.0,954,0.0010482180293501049,0.10482180293501049
120,중구,남학동,,43,,
121,중구,주자동,,17,,
122,중구,예장동,3.0,778,0.0038560411311053984,0.3856041131105398
123,중구,장충동1가,1.0,1704,0.0005868544600938967,0.05868544600938967
124,중구,장충동2가,4.0,2851,0.0014030164854437039,0.14030164854437038
125,중구,광희동1가,,345,,
126,중구,광희동2가,,838,,
127,중구,쌍림동,,582,,
128,중구,을지로6가,1.0,156,0.00641025641025641,0.641025641025641
129,중구,을지로7가,2.0,49,0.04081632653061224,4.081632653061225
130,중구,을지로4가,,120,,
131,중구,을지로5가,,418,,
132,중구,주교동,,259,,
133,중구,방산동,,42,,
134,중구,오장동,,711,,
135,중구,을지로3가,1.0,220,0.004545454545454545,0.45454545454545453
136,중구,입정동,,1420,,
137,중구,산림동,,140,,
138,중구,충무로3가,,254,,
139,중구,초동,1.0,76,0.013157894736842105,1.3157894736842104
140,중구,인현동1가,1.0,79,0.012658227848101266,1.2658227848101267
141,중구,저동2가,,254,,
142,중구,신당동,6.0,67433,8.89772070054721e-05,0.00889772070054721
143,중구,흥인동,1.0,2266,0.000441306266548985,0.0441306266548985
144,중구,무학동,,216,,
145,중구,황학동,1.0,12697,7.875876191226274e-05,0.007875876191226275
146,중구,서소문동,1.0,21,0.047619047619047616,4.761904761904762
147,중구,정동,12.0,527,0.022770398481973434,2.2770398481973433
148,중구,순화동,,1217,,
149,중구,의주로1가,,220,,
150,중구,중림동,,6353,,
151,중구,의주로2가,1.0,8,0.125,12.5
152,중구,만리동1가,2.0,1320,0.0015151515151515152,0.15151515151515152
153,중구,만리동2가,1.0,4467,0.00022386389075442132,0.02238638907544213
154,용산구,후암동,6.0,15998,0.00037504688086010754,0.037504688086010755
155,용산구,용산동2가,2.0,8910,0.0002244668911335578,0.022446689113355782
156,용산구,용산동4가,1.0,2,0.5,50.0
157,용산구,갈월동,2.0,2748,0.000727802037845706,0.0727802037845706
158,용산구,남영동,,604,,
159,용산구,동자동,1.0,3477,0.0002876042565429968,0.028760425654299683
160,용산구,서계동,2.0,4812,0.00041562759767248546,0.04156275976724855
161,용산구,청파동1가,,7184,,
162,용산구,청파동2가,2.0,3306,0.0006049606775559589,0.06049606775559589
163,용산구,청파동3가,2.0,3541,0.0005648121999435188,0.05648121999435188
164,용산구,원효로1가,1.0,6857,0.00014583637159107482,0.014583637159107482
165,용산구,원효로2가,,1730,,
166,용산구,신창동,1.0,2279,0.00043878894251864854,0.04387889425186486
167,용산구,산천동,,4922,,
168,용산구,청암동,,643,,
169,용산구,원효로3가,,2093,,
170,용산구,원효로4가,1.0,3699,0.0002703433360367667,0.027034333603676672
171,용산구,효창동,4.0,10685,0.00037435657463734206,0.03743565746373421
172,용산구,도원동,,5306,,
173,용산구,용문동,,6101,,
174,용산구,문배동,1.0,5681,0.0001760253476500616,0.017602534765006162
175,용산구,신계동,,2739,,
176,용산구,한강로1가,,3206,,
177,용산구,한강로2가,1.0,7255,0.00013783597518952445,0.013783597518952445
178,용산구,용산동3가,,269,,
179,용산구,용산동5가,1.0,2379,0.0004203446826397646,0.04203446826397646
180,용산구,한강로3가,4.0,7907,0.0005058808650562792,0.05058808650562792
181,용산구,이촌동,1.0,32801,3.048687540014024e-05,0.003048687540014024
182,용산구,이태원동,4.0,14683,0.0002724238915752912,0.027242389157529117
183,용산구,한남동,18.0,17755,0.0010137989298789074,0.10137989298789074
184,용산구,동빙고동,,6014,,
185,용산구,서빙고동,,5597,,
186,용산구,주성동,,821,,
187,용산구,보광동,,11147,,
188,성동구,상왕십리동,,3660,,
189,성동구,하왕십리동,,30226,,
190,성동구,홍익동,,3772,,
191,성동구,도선동,,4706,,
192,성동구,마장동,1.0,21573,4.6354239095165254e-05,0.004635423909516525
193,성동구,사근동,1.0,6694,0.00014938751120406333,0.014938751120406333
194,성동구,행당동,3.0,41789,7.178922683002704e-05,0.007178922683002704
195,성동구,응봉동,,14941,,
196,성동구,금호동1가,,14745,,
197,성동구,금호동2가,,9736,,
198,성동구,금호동3가,1.0,12217,8.185315543914218e-05,0.008185315543914218
199,성동구,금호동4가,,14154,,
200,성동구,옥수동,,25402,,
201,성동구,성수동1가,9.0,27335,0.00032924821657216025,0.032924821657216025
202,성동구,성수동2가,1.0,24652,4.056466006814863e-05,0.004056466006814863
203,성동구,송정동,,9838,,
204,성동구,용답동,4.0,11921,0.0003355423202751447,0.03355423202751447
205,광진구,중곡동,3.0,79081,3.79357873572666e-05,0.00379357873572666
206,광진구,능동,4.0,11097,0.0003604577813823556,0.036045778138235555
207,광진구,구의동,3.0,76577,3.917625396659571e-05,0.003917625396659571
208,광진구,광장동,6.0,33971,0.00017662123575991286,0.017662123575991284
209,광진구,자양동,5.0,92565,5.401609679684546e-05,0.005401609679684546
210,광진구,화양동,2.0,23193,8.623291510369507e-05,0.008623291510369507
211,광진구,군자동,3.0,19070,0.00015731515469323546,0.015731515469323547
212,동대문구,신설동,2.0,3666,0.0005455537370430987,0.05455537370430987
213,동대문구,용두동,3.0,34744,8.634584388671425e-05,0.008634584388671426
214,동대문구,제기동,5.0,23014,0.00021725905970278962,0.02172590597027896
215,동대문구,전농동,3.0,50115,5.986231667165519e-05,0.005986231667165519
216,동대문구,답십리동,3.0,55356,5.419466724474312e-05,0.005419466724474312
217,동대문구,장안동,2.0,70078,2.8539627272467823e-05,0.002853962727246782
218,동대문구,청량리동,3.0,18742,0.00016006829580621066,0.016006829580621065
219,동대문구,회기동,1.0,10394,9.620935154897056e-05,0.009620935154897056
220,동대문구,휘경동,1.0,37876,2.640194318301827e-05,0.002640194318301827
221,동대문구,이문동,2.0,37164,5.381552039608223e-05,0.005381552039608223
222,중랑구,면목동,5.0,134764,3.710189664895669e-05,0.0037101896648956694
223,중랑구,상봉동,3.0,43498,6.896868821555014e-05,0.006896868821555014
224,중랑구,중화동,,42559,,
225,중랑구,묵동,3.0,51761,5.795869477019377e-05,0.0057958694770193775
226,중랑구,망우동,2.0,52120,3.837298541826554e-05,0.003837298541826554
227,중랑구,신내동,2.0,57453,3.481106295580736e-05,0.003481106295580736
228,성북구,성북동,7.0,10158,0.000689112029927151,0.0689112029927151
229,성북구,성북동1가,2.0,1832,0.001091703056768559,0.10917030567685589
230,성북구,돈암동,4.0,38248,0.00010458063166701528,0.010458063166701528
231,성북구,동소문동1가,1.0,922,0.0010845986984815619,0.10845986984815618
232,성북구,동소문동2가,1.0,507,0.0019723865877712033,0.19723865877712032
233,성북구,동소문동3가,,152,,
234,성북구,동소문동4가,,3014,,
235,성북구,동소문동5가,,1124,,
236,성북구,동소문동6가,,1854,,
237,성북구,동소문동7가,,2316,,
238,성북구,삼선동1가,,4193,,
239,성북구,삼선동2가,1.0,5618,0.000177999288002848,0.0177999288002848
240,성북구,삼선동3가,,3780,,
241,성북구,삼선동4가,,3109,,
242,성북구,삼선동5가,,3715,,
243,성북구,동선동1가,1.0,1193,0.0008382229673093043,0.08382229673093043
244,성북구,동선동2가,,2165,,
245,성북구,동선동3가,2.0,2867,0.0006975933031042902,0.06975933031042902
246,성북구,동선동4가,,2059,,
247,성북구,동선동5가,,2055,,
248,성북구,안암동1가,,3901,,
249,성북구,안암동2가,,2316,,
250,성북구,안암동3가,,3668,,
251,성북구,안암동4가,,997,,
252,성북구,안암동5가,1.0,4033,0.0002479543763947434,0.024795437639474338
253,성북구,보문동4가,,940,,
254,성북구,보문동5가,,1788,,
255,성북구,보문동6가,,6156,,
256,성북구,보문동7가,,1019,,
257,성북구,보문동1가,,1698,,
258,성북구,보문동2가,,2014,,
259,성북구,보문동3가,,2555,,
260,성북구,정릉동,4.0,77990,5.128862674701885e-05,0.005128862674701885
261,성북구,길음동,1.0,54096,1.8485655131617863e-05,0.0018485655131617862
262,성북구,종암동,2.0,37683,5.3074330600005305e-05,0.005307433060000531
263,성북구,하월곡동,2.0,38970,5.132152938157557e-05,0.005132152938157557
264,성북구,상월곡동,3.0,9090,0.00033003300330033004,0.033003300330033
265,성북구,장위동,1.0,52017,1.9224484303208567e-05,0.0019224484303208566
266,성북구,석관동,1.0,33790,2.959455460195324e-05,0.0029594554601953243
267,강북구,미아동,4.0,127245,3.14354198593265e-05,0.00314354198593265
268,강북구,번동,3.0,48603,6.172458490216653e-05,0.006172458490216653
269,강북구,수유동,4.0,101608,3.9366978978033224e-05,0.003936697897803322
270,강북구,우이동,2.0,10657,0.0001876700760063808,0.01876700760063808
271,도봉구,쌍문동,6.0,73064,8.21197853936275e-05,0.00821197853936275
272,도봉구,방학동,8.0,72382,0.00011052471608963555,0.011052471608963554
273,도봉구,창동,7.0,115472,6.062075654704171e-05,0.006062075654704171
274,도봉구,도봉동,4.0,46030,8.689984792526613e-05,0.008689984792526613
275,노원구,월계동,2.0,74760,2.6752273943285178e-05,0.002675227394328518
276,노원구,공릉동,8.0,77450,0.00010329244673983215,0.010329244673983216
277,노원구,하계동,1.0,47450,2.107481559536354e-05,0.002107481559536354
278,노원구,상계동,8.0,197542,4.049771694120744e-05,0.004049771694120744
279,노원구,중계동,8.0,101011,7.919929512627338e-05,0.007919929512627337
280,은평구,수색동,1.0,20441,4.892128565138692e-05,0.004892128565138692
281,은평구,녹번동,5.0,36111,0.0001384619644983523,0.01384619644983523
282,은평구,불광동,2.0,64177,3.116381258083114e-05,0.003116381258083114
283,은평구,갈현동,,41923,,
284,은평구,구산동,1.0,31453,3.179346962133978e-05,0.003179346962133978
285,은평구,대조동,,27369,,
286,은평구,응암동,4.0,83446,4.79351916209285e-05,0.00479351916209285
287,은평구,역촌동,2.0,43804,4.5657930782576936e-05,0.004565793078257694
288,은평구,신사동,1.0,45406,2.2023521120556754e-05,0.0022023521120556754
289,은평구,증산동,1.0,18258,5.477051155657794e-05,0.005477051155657794
290,은평구,진관동,7.0,54382,0.00012871906145415764,0.012871906145415763
291,서대문구,충정로2가,,1126,,
292,서대문구,충정로3가,1.0,4936,0.0002025931928687196,0.02025931928687196
293,서대문구,합동,,1066,,
294,서대문구,미근동,,435,,
295,서대문구,냉천동,,3046,,
296,서대문구,천연동,,4540,,
297,서대문구,옥천동,,953,,
298,서대문구,영천동,,2963,,
299,서대문구,현저동,2.0,5084,0.0003933910306845004,0.03933910306845004
300,서대문구,북아현동,,27560,,
301,서대문구,홍제동,,55575,,
302,서대문구,대현동,1.0,6760,0.00014792899408284024,0.014792899408284025
303,서대문구,대신동,,1561,,
304,서대문구,신촌동,2.0,838,0.002386634844868735,0.23866348448687352
305,서대문구,봉원동,,374,,
