index,gu,dong,libraryCount,busStation,cultureCount,medicalCount,crimeRate,youthRate,jeonseDeposit,monthDeposit,monthRent,supermarket,parkRate,academyCount,id
23,성북구,안암동5가,0.0,21.0,1.0,22.0,6.459086188504753,66.00545499628069,11648.936170212766,1642.6153846153843,57.42153846153846,0.0,3.8,26,24
24,성북구,삼선동2가,0.0,12.0,1.0,0.0,6.459086188504753,21.69811320754717,37850.95238095238,5775.037735849057,60.84905660377358,0.0,3.8,26,25
25,성북구,안암동2가,0.0,7.0,0.0,2.0,6.459086188504753,51.64075993091537,10572.093023255817,2963.4615384615386,49.45192307692308,0.0,3.8,26,26
26,성북구,삼선동3가,0.0,7.0,0.0,0.0,6.459086188504753,21.48148148148148,32206.579710144928,6436.095238095239,53.773809523809526,0.0,3.8,26,27
27,성북구,동선동2가,0.0,6.0,0.0,0.0,6.459086188504753,54.18013856812933,14028.333333333334,2300.5813953488373,51.47093023255814,0.0,3.8,26,28
28,성북구,성북동1가,0.0,6.0,2.0,2.0,6.459086188504753,30.89519650655022,27236.84210526316,5434.4,52.17333333333333,0.0,3.8,26,29
29,성북구,삼선동1가,0.0,5.0,0.0,4.0,6.459086188504753,27.16432148819461,13291.98717948718,3691.772151898734,49.80379746835443,0.0,3.8,26,30
30,성북구,삼선동5가,0.0,5.0,0.0,2.0,6.459086188504753,34.32032301480484,17214.035087719298,4679.993548387097,55.81935483870968,0.0,3.8,26,31
31,성북구,보문동1가,0.0,4.0,0.0,0.0,6.459086188504753,23.733804475853944,41111.11111111111,10355.35,74.6,0.0,3.8,26,32
32,성북구,안암동1가,0.0,3.0,0.0,0.0,6.459086188504753,37.657011022814665,27511.53846153846,3394.161111111111,60.06111111111111,0.0,3.8,26,33
33,성북구,동소문동7가,0.0,3.0,0.0,2.0,6.459086188504753,23.359240069084628,42262.06896551724,9700.0,74.65573770491804,0.0,3.8,26,34
34,성북구,삼선동4가,0.0,3.0,0.0,4.0,6.459086188504753,32.29334191058218,26390.625,8123.076923076923,55.10576923076923,0.0,3.8,26,35
35,성북구,동소문동2가,0.0,3.0,1.0,10.0,6.459086188504753,20.907297830374755,15333.333333333334,2431.25,57.375,0.0,3.8,26,36
36,성북구,보문동7가,0.0,2.0,0.0,2.0,6.459086188504753,29.931305201177626,24800.0,6228.421052631579,54.71052631578947,0.0,3.8,26,37
37,성북구,동소문동6가,0.0,2.0,0.0,10.0,6.459086188504753,46.92556634304207,18295.666666666668,6679.605263157895,54.09868421052632,0.0,3.8,26,38
38,성북구,동선동1가,0.0,2.0,1.0,14.0,6.459086188504753,49.45515507124895,12811.53846153846,3587.2549019607845,46.8235294117647,0.0,3.8,26,39
39,성북구,동선동4가,0.0,2.0,0.0,8.0,6.459086188504753,43.4191355026712,18714.0,2892.5233644859813,53.05607476635514,0.0,3.8,26,40
40,성북구,동소문동1가,0.0,2.0,1.0,6.0,6.459086188504753,35.35791757049891,17402.777777777777,4384.882352941177,49.5,0.0,3.8,26,41
41,성북구,동소문동3가,0.0,2.0,0.0,6.0,6.459086188504753,25.0,13000.0,1500.0,67.5,0.0,3.8,26,42
42,성북구,동소문동4가,0.0,2.0,0.0,6.0,6.459086188504753,29.495686794956868,26490.079365079364,5531.428571428572,49.32857142857143,0.0,3.8,26,43
43,성북구,동소문동5가,0.0,2.0,0.0,2.0,6.459086188504753,26.601423487544483,41464.28571428572,8061.458333333333,71.25,0.0,3.8,26,44
44,성북구,보문동4가,0.0,1.0,0.0,2.0,6.459086188504753,25.21276595744681,22223.07692307692,4839.285714285715,61.5,0.0,3.8,26,45
45,성북구,보문동5가,0.0,1.0,0.0,6.0,6.459086188504753,29.026845637583893,12991.07142857143,2734.7195121951218,49.18292682926829,0.0,3.8,26,46
